model,split,macro_f1,weighted_f1,balanced_accuracy,roc_auc_ovr_macro,roc_auc_ovr_weighted
random_forest,test,0.6452991452991453,0.6948717948717948,0.6111111111111112,0.826388888888889,0.8125
logistic_regression,test,0.48888888888888893,0.6133333333333334,0.5,0.6388888888888888,0.55
icu_los_classifier,test,0.31746031746031744,0.19047619047619047,0.5,0.545138888888889,0.41875
dummy_most_frequent,test,0.25,0.45,0.3333333333333333,0.5,0.5
icu_los_classifier,validation,0.5142857142857142,0.5333333333333333,0.5277777777777778,0.7587962962962962,0.748611111111111
random_forest,validation,0.41269841269841273,0.5079365079365079,0.38888888888888884,0.6898148148148149,0.6388888888888888
logistic_regression,validation,0.33968253968253964,0.32857142857142857,0.3611111111111111,0.6782407407407408,0.6319444444444444
dummy_most_frequent,validation,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5,0.5
