model,split,macro_f1,weighted_f1,balanced_accuracy,roc_auc_ovr_macro,roc_auc_ovr_weighted
icu_los_classifier,test,0.5902319097728024,0.6402985568507089,0.6166020942176125,0.8139923137268302,0.8070580784542051
random_forest,test,0.5792292878620883,0.6486664362546612,0.5659241537993537,0.8074601972425818,0.800976873403392
logistic_regression,test,0.5605159382148307,0.6084803818241823,0.6044485157512381,0.7852617523521278,0.7759495339264006
dummy_most_frequent,test,0.2245891472868217,0.3422948433327733,0.3333333333333333,0.5,0.5
icu_los_classifier,validation,0.5953864381150955,0.6444988595680803,0.6196662600186449,0.8175828328037232,0.8119149218108277
random_forest,validation,0.5804971184906985,0.6464706694301823,0.566463878380619,0.8095995010764637,0.8032057948419357
logistic_regression,validation,0.5551938388971257,0.6035032391756846,0.5960913600783947,0.7856754413513557,0.7761062414390499
dummy_most_frequent,validation,0.22644586626521138,0.3494455303009745,0.3333333333333333,0.5,0.5
